Politicians,,,,,,
Оставьте пустым для создания,Пример: Слободан Милошевич,"Пример: Глава государства, контроль над госаппаратом",Выпадающий список по id,Пример: 0,Пример: 0,Пример: +5 ОК за каждую заявку ...
id,name *,role_and_influence *,district_id,ideology,influence,bonuses_penalties
int,str,text,ref District,int [-5..+5],int (±),text
,Слободан Милошевич,"Глава государства, контроль над госаппаратом",,-5,,+5 ОК за каждую заявку (конечно же все на поддержку режима)
,Зоран Джинджич,"Оппозиционный лидер, экономические реформы",,5,,"+5 ОК в про-реформаторских районах, штраф к коррупционным действиям"
,Желько «Аркан» Ражнатович,Локальный криминальный лидер,,-2,,"+3 Силы при поддержке, -3 Силы при атаке на них"
,"
Борислав Милошевич",Международный дипломат,,3,,+4 бонус к защите районов
,Небойша Павкович,Высшее военное командование ,,-4,,"+5 ОК при заявках на защиту, штраф к протестным действиям"
,Миролюб Лабус,Лидер профсоюзов ,,2,,"+3 Ресурса при союзничестве, -3 Ресурса при конфликте"
,Чедомир «Чеда» Йованович,Лидер студенческих организаций ,,4,,"+5 ОК при массовых акциях, штраф к силовому контролю"
,Патриарх Павле,Религиозный лидер,,-1,3,+5 Инфлюенса
